"","genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","ensembl_gene_id","entrezgene_id"
"162","Kif5c",2904.02741649658,-0.739443902722494,0.147526134909596,3.99387845996996e-08,3.38615496565172e-06,"ENSMUSG00000026764",16574
"163","Pdlim2",2446.18795979287,0.659425724948391,0.130012564214217,4.03429651597306e-08,3.39694099911183e-06,"ENSMUSG00000022090",213019
"164","Laptm5",754.784509597286,-0.850652199772423,0.170747746364429,4.05346111771518e-08,3.39694099911183e-06,"ENSMUSG00000028581",16792
"165","Tmod1",1841.75805730541,0.852365793016673,0.170159690933665,4.36957757121428e-08,3.64081239238302e-06,"ENSMUSG00000028328",21916
"166","Pum2",924.428318854301,-0.726684692793709,0.145330486471894,4.41654303680796e-08,3.65684569244091e-06,"ENSMUSG00000020594",80913
"167","Gatm",12366.7256052967,0.618596842650137,0.122000774052434,4.43926639446544e-08,3.65684569244091e-06,"ENSMUSG00000027199",67092
"168","Pten",3906.37772579921,-0.716678570528396,0.143725905656285,4.73483168281406e-08,3.87828190606996e-06,"ENSMUSG00000013663",19211
"169","Shisa2",1683.38300744282,0.925443223340203,0.185990763740762,4.87212043951912e-08,3.96831472652518e-06,"ENSMUSG00000044461",219134
"170","Cd82",5361.53223937663,0.876335063246732,0.175878125278481,4.92076086908721e-08,3.98554140111879e-06,"ENSMUSG00000027215",12521
"171","Phf2",879.112802718465,0.789593908459438,0.158309287501742,5.13240231547663e-08,4.13386493165445e-06,"ENSMUSG00000038025",18676
"172","Sdc4",6821.21806537059,-0.662588974299577,0.132942458174819,5.42719743380655e-08,4.34715515996284e-06,"ENSMUSG00000017009",20971
"173","Calb2",1043.1968884702,-0.982773374838299,0.201443523797705,5.69446610332891e-08,4.53617415198145e-06,"ENSMUSG00000003657",12308
"174","Grb14",1854.37503964897,0.667350928233706,0.134019980507045,6.40875082026112e-08,5.07727155148337e-06,"ENSMUSG00000026888",50915
"175","Ptprj",290.876441444427,-1.07733859252133,0.222481845058744,6.74512039443531e-08,5.31471497165887e-06,"ENSMUSG00000025314",19271
"176","Trim67",866.591926074252,-0.833136381149568,0.170937518387652,7.11292328788799e-08,5.54425601224732e-06,"ENSMUSG00000036913",330863
"177","Unc13c",205.572516832546,-1.35716658470415,0.282597928695102,7.10639828687364e-08,5.54425601224732e-06,"ENSMUSG00000062151",208898
"178","Herc1",1576.7977671071,-0.838792902203179,0.173669124888215,8.74863492314084e-08,6.78276519335272e-06,"ENSMUSG00000038664",235439
"179","Frrs1l",1112.08014271621,-0.722025062911137,0.148557788516506,9.01869189426092e-08,6.95494654696781e-06,"ENSMUSG00000045589",230235
"180","Dbndd2",9339.62471073942,0.663078999039228,0.135413892522728,9.90706622098196e-08,7.59961090326965e-06,"ENSMUSG00000017734",52840
"181","Tmem151b",406.339809416232,-1.03783608640228,0.218182629579215,1.04963924361232e-07,8.00929987046918e-06,"ENSMUSG00000096847",210573
"182","Carns1",2003.68839659998,0.76584527319684,0.157840929602349,1.0577477674039e-07,8.0289147287025e-06,"ENSMUSG00000075289",107239
"183","Shank1",229.125022124079,-1.26650664041202,0.268279454892545,1.10139551004857e-07,8.31668338785632e-06,"ENSMUSG00000038738",243961
"184","Smad5",1843.05675425633,-0.772201606986232,0.161327636935852,1.16273162009912e-07,8.68932114855518e-06,"ENSMUSG00000021540",17129
"185","Map2",14116.3702063981,-0.661625801682701,0.13717806499584,1.19606500986993e-07,8.8472196495379e-06,"ENSMUSG00000015222",17756
"186","Grhl1",1108.98006934609,0.755350116236952,0.156386640859589,1.19547639432578e-07,8.8472196495379e-06,"ENSMUSG00000020656",195733
"187","Ninj2",286.02766675482,1.06007947395735,0.222584721499851,1.2694130250822e-07,9.34210661809223e-06,"ENSMUSG00000041377",29862
"188","Rab34",5434.62294795623,0.646904162633616,0.133471897040712,1.30850140129666e-07,9.53299161607987e-06,"ENSMUSG00000002059",19376
"189","Tesk1",2403.34222162044,0.856110729413465,0.178491529860538,1.30503685477552e-07,9.53299161607987e-06,"ENSMUSG00000028458",21754
"190","Gpd1",7259.27033274388,0.573696365869461,0.118255338066946,1.3230563217568e-07,9.59083527641504e-06,"ENSMUSG00000023019",14555
"191","Sec14l5",744.426567394996,0.786560036717844,0.164240063723599,1.39577439972081e-07,1.006763047122e-05,"ENSMUSG00000091712",665119
"192","Dusp1",8490.71057629822,0.826948713244502,0.173198187800295,1.47426255229174e-07,1.05289943266628e-05,"ENSMUSG00000024190",19252
"193","Sv2c",103.842772088987,-1.76197765415704,0.381211641296371,1.54526930307589e-07,1.09284460273143e-05,"ENSMUSG00000051111",75209
